CONTENT,CLASS
"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !﻿",spam
http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!﻿,spam
Admit it you just came here to check the number of viewers ﻿,not spam
"Just coming to check if people are still viewing this video. And  apparently, they still do.﻿",not spam
Check my first video out﻿,spam
Check my channel﻿,spam
PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,not spam
Suscribe My Channel Please XD lol﻿,spam
Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)﻿,not spam
http://binbox.io/1FIRo#123﻿,spam
Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.﻿,not spam
https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project﻿,spam
There is one video on my channel about my brother...﻿,spam
"Check my channel, please!﻿",spam
"Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site. Here is a $50 itunes  gift card code XXBB5TCZHM39HVZD﻿",spam
Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿,not spam
Plizz withing my channel ﻿,spam
I made a gaming channel (Unique right?) :L Angry Minecraft!﻿,spam
Please help me go here http://www.gofundme.com/littlebrother﻿,spam
Anybody who subscribes to me will get 10 subscribers﻿,spam
http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection﻿,spam
"My videos are half way decent, check them out if you want.﻿",spam
"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ﻿",not spam
subscribe to itz recaps and above diddle﻿,spam
Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿,not spam
need money?Enjoy https://www.tsu.co/emerson_zanol﻿,spam
Sub to my channel visuelgamingzNL I sub back﻿,spam
please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back :D hoppa HOPPA GaNgAm StYlE﻿,spam
sub me if you dont like the song﻿,spam
This is a weird video.﻿,not spam
8 million likes xD even the subscribers not 8 million xD﻿,not spam
EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿,spam
Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;﻿,spam
This song never gets old love it.﻿,not spam
gofundme.com/grwmps﻿,spam
"Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post﻿",spam
#2012bitches﻿,not spam
Made in china....﻿,not spam
5 milions comentars and 2 bilion views﻿,not spam
It is 0 zero﻿,not spam
Mix - PSY - GANGNAM STYLE (강남스타일) M/V: PSY - GANGNAM STYLE (강남스타일) M/V﻿,not spam
This has had over 2 billion views.  Holy shit.﻿,not spam
"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",not spam
Suscribe my channel please﻿,spam
"2,124923004 wiews... wow﻿",not spam
guys please subscribe me to help my channel grow please guys﻿,spam
Great music anyway﻿,not spam
PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,not spam
"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿",not spam
Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g﻿,spam
"Like getting Gift cards..but hate spending the cash.... Try Juno Wallet !!! At Juno Wallet you can earn money for gift cards such as ; Nike, Gamestop,  Amazon , Ebay Etc &amp; its easy  Earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup Sign up today &amp; use promo code BD3721315﻿",spam
Can somebody wake me up when we get to 3 billion views.﻿,not spam
PSY GOT LOTS  OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS  IS THE MOST VIEWS IN THE WORLD :D﻿,not spam
Justin bieber = gay ﻿,not spam
You gotta say its funny. well not 2 billion worth funny but still. It  clicked and everything went uphill. At least you don't have JB's shit on  #1.﻿,not spam
❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️﻿,not spam
"Ahhh, 2 years ago....﻿",not spam
"Dance dance,,,,,Psy  http://www.reverbnation.com/msmarilynmiles﻿",spam
"check out ""starlitnightsky"" channel to see epic videos﻿",spam
https://www.tsu.co/KodysMan plz ^^﻿,spam
Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions﻿,not spam
http://www.gcmforex.com/partners/aw.aspx?Task=JoinT2&amp;AffiliateID=9107﻿,spam
check men out i put allot of effort into my music but unfortunatly not many  watch it﻿,spam
pls http://www10.vakinha.com.br/VaquinhaE.aspx?e=313327 help me get vip gun  cross fire al﻿,spam
Add me here...https://www.facebook.com/TLouXmusic﻿,spam
CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS﻿,spam
I think this is now a place to promote channels in the comment section lol.﻿,not spam
Get free gift cards and pay pal money!﻿,spam
Check out pivot animations in my channel﻿,spam
Follow me on twitter &amp; IG : __killuminati94﻿,spam
Check me out I'm all about gaming ﻿,spam
Oppa! Yeah! Best Song!﻿,not spam
More... http://www.sunfrogshirts.com/Sunglass-World.html?24398﻿,spam
https://www.facebook.com/teeLaLaLa﻿,spam
http://www.twitch.tv/zxlightsoutxz﻿,spam
reminds me of this song https://soundcloud.com/popaegis/wrenn-almond-eyes﻿,spam
What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿,spam
"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿",spam
Follow me on Twitter @mscalifornia95﻿,spam
😫😓😏😪😔😖😌😭😎😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😣😮😴😢😡😠😬😕😑😐😯😉😈😇😆😅😄😃😂😁😀😊☺  every single types of face on earth﻿,not spam
▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿,not spam
CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿,spam
Incmedia.org where the truth meets you.﻿,spam
look at my channel i make minecraft pe lets play ﻿,spam
I found out this song now﻿,not spam
2 BILLION!!!﻿,not spam
Song name??﻿,not spam
please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,spam
hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,spam
http://www.amazon.co.uk/gp/offer-listing/B00ECVF93G/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=UTF8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ﻿,spam
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",not spam
Subscribe to me and I'll subscribe back!!!﻿,spam
http://flipagram.com/f/LUkA1QMrhF﻿,spam
For Christmas Song visit my channel! ;)﻿,spam
http://www.gofundme.com/gvr7xg﻿,spam
Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿,spam
https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ﻿,spam
https://soundcloud.com/jackal-and-james/wrap-up-the-night﻿,spam
https://www.surveymonkey.com/s/CVHMKLT﻿,spam
Please give us a chance and check out the new music video on our channel!  You won't be disappointed.﻿,spam
Please subscribe to me﻿,spam
"This is the best, funny and viral video of history (youtube) THE TRUE﻿",not spam
Please check out my vidios﻿,spam
OPPA GANGNAM STYLE!!!﻿,not spam
"The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!﻿",not spam
OPPA &lt;3﻿,not spam
It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,not spam
most viewed video in the world﻿,not spam
I'm here to check the views.. holy shit﻿,not spam
"Dear person reading this, You are beautiful and loving Have a great day﻿",not spam
http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,spam
Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,spam
The Guy in the yellow suit kinda looks like Jae-suk ﻿,not spam
"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",spam
How are there 2 billion views and theres only 2 million people in the  world!?!?!?!! MULTIPLE ACCOUNTS!!!1111﻿,not spam
WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE!﻿,not spam
OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,not spam
What is he saying?!?!?!?!?!?!?!?$? ﻿,not spam
this has so many views﻿,not spam
OMG over 2 billion views!﻿,not spam
Subscribe to me plz plz plz plz plz plZ ﻿,spam
http://www.twitch.tv/tareko100 Follow him on twitch and enter the keyword  !5800 and you'll have a chance of winning a really nice and expensive gun  for csgo that you can sell on the steam market﻿,spam
"i am 2,126,492,636 viewer :D﻿",not spam
https://www.tsu.co/Aseris get money here !﻿,spam
Fantastic!﻿,not spam
The population of world is more than 7 billion﻿,not spam
2.126.521.750  views!!!!!!!!!!!!!!!!!﻿,not spam
Wow 23 min ago﻿,not spam
SUPER!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,not spam
P E A C E  &amp;  L O V E  ! !﻿,not spam
How can this music video get 2 billion views while im the only one watching  here on earth?????? lol﻿,not spam
Please friend read my book and repass: http://www.4shared.com/web/preview/pdf/CjFofTxeba?﻿,spam
subscribe to me :) ﻿,spam
Still the best. :D﻿,not spam
The most liked video on YouTube...﻿,not spam
Still watching this 2 years later? ﻿,not spam
"Hello! I'm kind of new to Youtube, And soon i'm soon going to be making  Launchpad Video's! :D I would really appreciate if i got some subs before i  started so that people can spot me easily! I dont really care about hate  comments so dont bother -_-﻿",spam
"Lol...I dunno how this joke gets a lot of likes, but whatever. xD﻿",not spam
2 Billion Views For This Piece Of Shit... ~ A R E ~ Y O U ~ K I D D I N G ~ M E ~﻿,not spam
GANGMAN STY- *D-D-D-D-D-D--DROP THE BASS!!*﻿,not spam
Will this song ever reach 7 Billion Views?﻿,not spam
"Im a RAPPER/SONGWRITER, check my video PLEASE..also subscribe for more  thanks :) tell me what you think.﻿",spam
"Hello all 29.24% earth population of the world, hope your having a great  day :)﻿",not spam
"Is this the video that started the whole ""got my dick stuck in an elevator""  excuse thing? ﻿",not spam
Can anyone sub to my channel? :D﻿,spam
prehistoric song..has been﻿,not spam
You think you're smart?        Headbutt your face.﻿,not spam
DISLIKE.. Now one knows REAL music - ex. Enimen ﻿,not spam
Loool nice song funny how no one understands (me) and we love it﻿,not spam
Like if you came here too see how many views this song has.﻿,not spam
We pray for you Little Psy ♡﻿,not spam
"''Little Psy, only 5 months left.. Tumor in the head :( WE WILL MISS U &lt;3﻿",not spam
 Follow me on Instagram. _chris_cz  ﻿,spam
how is this shit still relevant ﻿,not spam
LOL this shit never gets old﻿,not spam
What Can i say....This Song He Just Change The World Completely... So good job PSY... (and your girls are awesome :))) )﻿,not spam
On 0:02 u can see the camera man on his glasses....﻿,not spam
this comment is wrong﻿,not spam
i hate this music. fucking singer and every koean chainise ana US sucks me dick.﻿,not spam
2:05. Hahahahah ﻿,not spam
Can we reach 3 billion views by December 2014? ﻿,not spam
"Dumb Guy: Why is there 2 billion views when there are 7 million people on  earth??? Also, I know what 1+1 equals! 1+1=1! I am a smartie pants﻿",not spam
"People Who Say That ""This Song Is Too Old Now, There's No Point Of  Listening To It"" Suck. Just Stfu And Enjoy The Music. So, Your Mom Is Old  Too But You Still Listen To Her Right?....﻿",not spam
The Funny Thing Is That this song was made in 2009 but it took 2 years to  get to america.﻿,not spam
why I dont see any comments but mine?:/﻿,not spam
this jap is such a piece of shit. he is such a worthless fish head. i dont  know how any one likes this dumb untanlted gook. this isnt even fucken  music. this is so fucking sad that this is even such thing. people are so  fucked up.﻿,not spam
I remember when everyone was obsessed with Gangnam Style 😗﻿,not spam
Remove This video its wank﻿,not spam
"It's so hard, sad :( iThat little child Actor HWANG MINOO dancing very  active child is suffering from brain tumor, only 6 month left for him .Hard  to believe .. Keep praying everyone for our future superstar.  #StrongLittlePsY #Fighting  SHARE EVERYONE PRAYING FOR HIM http://ygunited.com/2014/11/08/little-psy-from-the-has-brain-tumor-6-months-left-to-live/ ﻿",spam
"Why the fuck this keeps updated? Comments :""5 minutes ago"" Song: ""2 years and  4 months ago""﻿",not spam
MANY MEMORIES...........﻿,not spam
why are they 5million comments when there is only 279.898 youtube Users.   5million fake account or PSY hacked youtube﻿,not spam
"2,000,000,000 out of 7,000,000,000 people in the would saw this video just  in 2 years and yeat i only get 2 words out of the hole song﻿",not spam
"This video is so cool, again and again!﻿",not spam
I am now going to voyage to the first comment...      Tell my family I loved them. 😢﻿,not spam
"How did THIS Video in all of YouTube get this many views and likes? Why  Gangnam style? I don't have a problem with it, i just don't understand the  phenomena behind it, it's just like any other random music video out  there. ﻿",not spam
With the korean girl more slut and bitch : Hyuna :'33﻿,not spam
Hey guys! Check this out: Kollektivet - Don't be slappin' my penis!  I  think that they deserve much more credit than they receive.﻿,spam
Still a very fun music video to watch! ﻿,not spam
C'mon 3 billion views!!!!!!!!﻿,not spam
"Hey everyone, I am a new channel and will post videos of book reviews and  music on the flute. Please subscribe if you would enjoy that. Thanks!﻿",spam
"Hey I think I know what where dealing with here!!!! I have some theories of  how this could've gotten 2billion hits!! 1. This was mabey made in korea and its realy popular there so they were  stuck watching this over and over again. 2. Over 2billion people have access to the Internet, including youtube, and  the numbers are rising, by 2017 half of the populatoin will be connected. 3. Hackers In Korea may have loved it so much they rised it to 2billion  hits to make it more popular.  4. The song was featured in a just dance game, on multiple mp3s, and been  seen on concerts and even on new years eve event in 2012, so just by seeing  those you mabey adding more hits to this video. 5. You are complaining to much on how the heck this has 2b hits.﻿",not spam
subscribe my chanel﻿,spam
"THIS HAS MORE VIEWS THAN QUEEN AND MICHAEL JACKSON, 2 BILLION views omg﻿",not spam
LoL﻿,not spam
If you pause at 1:39 at the last millisecond you can see that that chick is  about to laugh. Takes a few tries.﻿,not spam
"9 year olds be like, 'How does this have 2 billion views when there are  only 3 people in the world'﻿",not spam
PSY is a good guy﻿,not spam
WHY DOES THIS HAVE 2 BILLION VIEWS THIS SONG IS SO ANNOYING﻿,not spam
https://www.facebook.com/pages/Mathster-WP/1495323920744243?ref=hl﻿,spam
1 millioon dislikesssssssssssssssssssssssssssssssss.............﻿,not spam
The little PSY is suffering Brain Tumor and only has 6 more months to live.  Please pray to him and the best lucks.﻿,not spam
For all of the little kidz out there there is Like 7 to 8 Billon people on  earth NOT 7 to 8 MILLON.Get you facts straight before posting comments.﻿,not spam
How stupid humanity is﻿,not spam
Come and watch my video it is called the odowd crowd zombie movie part 1 ﻿,spam
You know a song sucks dick when you need to use google translate to know  what the fuck its saying!﻿,not spam
"We get it, you came here for the views... ﻿",not spam
Wow this video is the most viewed youtube video.. second that comes Justin  bieber- baby SMH WHAT HAS THE WORLD COME TO﻿,not spam
"Hey, join me on tsū, a publishing platform where I share my content now:  http://tsu.co/MarkusMairhofer﻿",spam
"This song is great there are 2,127,315,950 views wow﻿",not spam
I'm watching this in 2014﻿,not spam
Most viewed video on youtube...daaaaaaaaaaannng those views can almost  dominate the entire...china...﻿,not spam
"how does this video have 2,127,322,484 views if there are only 7 million  people on earth?﻿",not spam
What my gangnam style﻿,not spam
Lol this youtuber (officialpsy) is getting so much money lol﻿,not spam
1 million dislikes!EPIC FAIL(ready for you fanboys)﻿,not spam
"If I knew Korean, this would be even funnier. At least a bit at the end was  in English, but was spoken quite rapidly.﻿",not spam
"Enough with the whole ""how does this have two billion views if there's only  7 million on the planet"" we get it. You're joking. It's not funny anymore.﻿",not spam
"If I get 100 subscribers, I will summon Freddy Mercury's ghost to whipe  from the face of earth One Direction and Miley Cirus.﻿",spam
if i reach 100 subscribers i will go round in public pouring a bucket of  ice water over people and then running away acting like it wasn't me! like  so people can see!!﻿,spam
YOUTUBE MONEY !!!!!!!!!!!!!!!!!!!!!!!﻿,not spam
2 billion for this shit?﻿,not spam
"2 billion views, only 2 million shares﻿",not spam
Hi guys my name is Dylan and I do IRL football videos I have 1030  subscribers and I think you guys would like my content so come check it out  and if you do subscribe!﻿,spam
If I get 300 subscribers by tomorrow I'll do a epic Hunger Games Video! ﻿,spam
follower please https://www.facebook.com/lists/161620527267482﻿,spam
2 billion views wow not even baby by justin beibs has that much he doesn't  deserve a capitalized name﻿,not spam
If i reach 100 subscribers i will tazz my self and my friend﻿,spam
Please help me go to college guys! Thanks from the bottom of my heart.  https://www.indiegogo.com/projects/i-want-to-go-to-college--19/x/9082175﻿,spam
https://www.facebook.com/SchoolGeniusNITS/photos/ms.c.eJw9kVkOxDAMQm808h5z~;4sNjqP~_tHqBEuM69AQUp1Ih~_fPHgk5zLLsVdQv0ZUf0MB~;LnUJ~;ufTH4YoKfRxYts2zvrrp6qGtw67y~;L551h~;f7~_vlcZzRG8vGCTlPSD9ONGeWhj8~_GIbu~;S3lzMvY~;IQ2~;TwSfzz9WHn7JUSvHufpglQRZczl05fNPhaGeVb3x8yDmC6X~_~;jTcjnMho~;vfXWCjZyvWObihrnGx2ocjnG2PG1EvHXzyjD~_o3h~_RY6f57sPrnD2xV~;~_BzszZ~;8~-.bps.a.390875584405933/391725794320912/?type=1&amp;theater ﻿,spam
I am so awesome and smart!!! Sucscribe to me!﻿,spam
Follow 4 Follow                           @ VaahidMustafic Like 4 Like ﻿,spam
http://hackfbaccountlive.com/?ref=4436607  psy news offıcal ﻿,spam
https://www.facebook.com/nicushorbboy add mee &lt;3 &lt;3﻿,spam
im sorry for the spam but My name is Jenny. I go to high school where  everyone dresses fashionable but for me I don't because i need money to buy  cute clothes. I have low self esteem . I live with my dad. my mom passed  away when i was 6 so i don't really have a mother figure. I have 2 brothers  who is older than me. Since they are boys they get the attention while i  just be alone. I really want to wear pretty clothes like the girls in my  school and get a boyfriend. i just can't be my self. im very quite and shy  at school because i don't have the confidence in myself to talk to someone.  i did have one friend name Caroline but she moved away so now im alone. if  you could donate some money to me it would be great. i don't care about  expensive brand ill just shop at walmart because they have pretty clothes.  also i wanna get my nails done at a salon . i see alot of girls have these  french tips. i never had my nail did at a salon before i will really  appreciate if i can and get my hair curled too. http://www.gofundme.com/dressprettyonce thanks omg please.﻿,spam
 I hate this song! ﻿,not spam
please throw a sub on my channel﻿,spam
"NEW GOAL!   3,000,000!  Let's go for it!﻿",not spam
Go to my channel if u want to see a fly getting burned alive﻿,spam
just came here to check the views :P﻿,not spam
"COME AND CHECK OUT MY NEW YOUTUBE CHHANEL, GOING TO BE POSTING DAILY!﻿",spam
I hav absolutely no idea what he's saying. Is it even a language?﻿,not spam
Please check out my vidios guys﻿,spam
I still to this day wonder why this video is so popular ?? illuminati  confirmed ??﻿,not spam
Hey guys can you check my channel out plz. I do mine craft videos. Let's  shoot for 20 subs﻿,spam
This is getting old.........﻿,not spam
PLEASE SUBSCRIBE ME!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,spam
just came to check the view count﻿,not spam
Check out my Music Videos! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,spam
Check out my Music Videos! and PLEASE SUBSCRIBE!!!! Fuego - U LA LA Remix  hyperurl.co/k6a5xt﻿,spam
www.marketglory.com/strategygame/lordviperas﻿,spam
"If the shitty Chinese Government didn't block YouTube over there, there'd  be close to 3 billion views right now. ﻿",not spam
WORLD RECORD YOUTUBE VIDEO VIEWS !!!!!! XD﻿,not spam
I think he was drunk during this :) x)﻿,not spam
Limit sun exposure while driving. Eliminate the hassle of having to swing  the car visor between the windshield and window.  https://www.kickstarter.com/projects/733634264/visortwin﻿,spam
"Hahah, juyk! I allways laugh at the part 1:57.. LOL!﻿",not spam
http://hackfbaccountlive.com/?ref=5242575﻿,spam
"I wanted to know the name of the guy that dances at 00:58, anybody knows ?﻿",not spam
https://www.facebook.com/FUDAIRYQUEEN?pnref=story﻿,spam
